11,"Tooltips explicativos de ecuaciones matemáticas","Todo","SergioMainJG/OrbitalJS","## Objetivo
Cada elemento visual debe explicar la matemática detrás. Valor pedagógico para la rúbrica.

## Criterios de aceptación
- [ ] Hover sobre planeta: tooltip con nombre, masa, velocidad actual, energía específica
- [ ] Hover sobre panel de energía: explicación de por qué E_total debe ser constante
- [ ] Hover sobre comparador: explicación de O(Δt) vs O(Δt⁴)
- [ ] Sección ""¿Cómo funciona?"" desplegable con ecuaciones en MathJax o imágenes SVG

## Contenido matemático
- Ley de gravitación: F = G·m₁·m₂/r²
- Segunda ley de Newton: a = F/m → sistema de EDOs
- Reducción: r'' = F/m → sistema de 1.° orden: dr/dt = v, dv/dt = a
- RK4: fórmula con k1..k4
- Conservación energía: E = K + U = cte en sistemas hamiltonianos

## Nota
Si les cuesta usar [MathJax](https://www.mathjax.org), pueden usar imágenes SVG estáticas de las ecuaciones ya que son suficientes y más rápidas"
12,"Responsive layout y polish visual final","Todo","SergioMainJG/OrbitalJS","## Objetivo
La app debe bien en laptop y en móvil.

## Criterios de aceptación
- [ ] Layout: canvas ocupa ~70% pantalla ~30% lateral (o bottom en móvil)
- [ ] Tailwind: dark mode por defecto (fondo espacial), tipografía legible
- [ ] Transiciones suaves: fade in de tooltips, animación de controles
- [ ] Loading state mientras carga planets.json
- [ ] Error state si JSON no existe o está mal formado

## Tests visuales
- [ ] Chrome, Firefox, Edge (Chromium)
- [ ] 1366x768 (laptop común) y 1920x1080
- [ ] Móvil: 375x667 (iPhone SE) - canvas debe ser táctil, controles grandes"
13,"Documentación técnica con ecuaciones y diagramas","Todo","SergioMainJG/OrbitalJS","## Objetivo
README + docs que demuestren dominio del tema matemático.

## Criterios de aceptación
- [ ] README.md: descripción, stack, cómo correr (`bun install`, `bun run dev`)
- [ ] Carpeta ""Doc"": EDOs del movimiento, reducción a 1.° orden, RK4 derivado en la doc entregable, 
- [ ] Diagrama de flujo del RK4 (imagen o Mermaid)
- [ ] Tabla de validación: error de cierre de órbita terrestre, drift de energía
- [ ] Capturas de pantalla: comparador Euler vs RK4, panel de energía, nave lanzada

## Formato
Markdown con ecuaciones en LaTeX (renderizado por GitHub nativamente: `$E = mc^2$`)"
14,"Presentación","Todo","SergioMainJG/OrbitalJS","## Objetivo
Crear una presentación que demuestre la aplicación de la matemática aplicada en la webapp.

## Criterios de aceptación (Según canvas)
- Presentación del video en buena calidad, con claridad y dentro del tiempo estimado.
- Claridad en la exposición  de los conceptos y del funcionamiento del programa/juego. 
- Seguridad, dominio del tema y participación equitativa

## Notas
No importa si es en canva, powerpoint, o incluso gamma"
15,"Testear la aplicación","Todo","SergioMainJG/OrbitalJS","## Objetivo
La app no se rompe el día de la presentación. Todos saben qué decir.

## Criterios de aceptación
- [ ] Simular 10 años terrestres: drift de energía < 1% (si falla, ajustar dt)
- [ ] Lanzar 20 naves simultáneas: sin lag perceptible (>30 FPS)
- [ ] Probar en laptop de cada miembro (Chrome, con cualquier resolución, ej: 1366x768): ¿se ve bien?
- [ ] Ensayo de exposición: cada integrante habla 2-3 min de su pilar
  - Pilar A: Matemática del RK4 y EDOs 
  - Pilar B: Datos NASA y validación 
  - Pilar C: Visualización y Canvas 
  - Pilar D: Física N-cuerpos y energía 
- [ ] Timing total: 10-12 minutos + 3 min preguntas
- [ ] Realizar cualquier prueba que se les ocurra
"
18,"Runge kutta implementation","Done","SergioMainJG/OrbitalJS",""
17,"feat: implementar integrador Euler explícito","Done","SergioMainJG/OrbitalJS","#2 
- Agrega interfaz BodyState en src/types/body-state.ts
- Implementa eulerStep con gravedad N-cuerpos en src/physics/euler-integrator.ts
- Incluye test de Sergio en src/test/physics/euler-step.test.ts"
19,"feat: agregar fetch y parser de condiciones iniciales JPL Horizons","Done","SergioMainJG/OrbitalJS",""
21,"Rk vs euler comparison","Done","SergioMainJG/OrbitalJS",""
20,"feat: setup SolarSystem canvas rendering in SolidJS","Done","SergioMainJG/OrbitalJS","Cambios hechos:

* Se agrego SolarSystemCanvas con <canvas> en SolidJS
* Se implemento el loop de animacion con requestAnimationFrame
* Se integro renderer base para dibujo continuo
* Se mantuvo temporalmente elHello World para compatibilidad con los tests existentes
* Se separo la logica del render

Verificaciones hechas:
* bun run check -> OK
* Tests pasados -> 56 passed
* Sin errores de TypeScript, y 
* Sin problemas de formato
"
23,"Energy panel chartjs","Done","SergioMainJG/OrbitalJS",""
24,"Fix and integrate views","Done","SergioMainJG/OrbitalJS","El canvas ahora se renderiza bien. Incluí paneles parecidos a la imagen de referencia.
Todavía falta pulir muchas cosas pero eso se realiza en el sprint, de hecho hay un issue sobre eso.

![Uploading image.png…](Imagen de refencia)
"
25,"Dev","Done","SergioMainJG/OrbitalJS",""
